"EXPERIMENT","EVENNESS_CONTROL","RATIO","EXTRACTED_RESOURCES","MODEL","SPECIES","INTERACTIONS","COMPLEXITY","CLONES","GRIDS","RESOURCES","SITES","OBSTACLES","DIFFICULTY","CAPTURES_TOTAL","CAPTURES_BEST_CASE","CAPTURES_MEAN","TOT_FITNESS_MEAN","RATE_COMMUNICATION","RATE_MOTION","RES_E2C_STEPS_MEAN","NUM_DETECTORS","NUM_EXTRACTORS","NUM_TRANSPORTERS","SIGNAL_SENT","SIGNAL_RECEIVED"
123,"m","1:1:2","f","a","s","b",3,8,625,31,12,78,"d",7394,1,0.465851806451613,18.764576,1803.865234,16097.373046,581.702326,6,6,12,291033,208494
124,"m","1:1:2","f","a","s","b",3,8,625,93,12,78,"d",516,0.0860215053763441,0.010836688172043,206.202209,1072.726562,8812.527343,1137.761627,6,6,12,161785,94145
125,"m","1:1:2","f","a","s","b",3,8,625,31,12,78,"r",10170,1,0.640751,64.894259,1751.253906,11098.738281,427.035201,6,6,12,455146,176690
126,"m","1:1:2","f","a","s","b",3,8,225,11,4,28,"r",3445,1,0.611683181818182,5.084661,451.783203,5031.679687,156.153846,6,6,12,103978,48607
127,"m","1:1:2","f","a","s","b",3,8,225,33,4,28,"d",11,0.0606060606060606,0.000651030303030303,80.462697,291.859375,2526.6875,501.181818,6,6,12,42456,24672
128,"m","1:1:2","f","a","s","b",3,8,625,93,12,78,"r",22373,0.946236559139785,0.469863064516129,207.240467,1245.005859,13586.503906,516.847137,6,6,12,132818,97633
129,"m","1:1:2","f","a","s","b",3,8,625,93,12,78,"r",25466,0.935483870967742,0.534820225806452,199.523429,1474.251953,11013.34375,624.882706,6,6,12,222510,168002
130,"m","1:1:2","f","a","s","b",3,8,225,11,4,28,"r",2769,1,0.491654818181818,11.404817,816.689453,5029.460937,143.089563,6,6,12,138365,84132
131,"m","1:1:2","f","a","s","b",3,8,225,33,4,28,"d",2,0.0303030303030303,0.000118363636363636,41.920738,338.982421,2518.658203,738.5,6,6,12,51666,42253
132,"m","1:1:2","f","a","s","b",3,8,225,33,4,28,"d",10,0.0909090909090909,0.000591848484848485,75.469309,278.896484,2103.755859,373.9,6,6,12,32245,25581
133,"m","1:1:2","f","a","s","b",3,8,625,93,12,78,"d",10964,0.655913978494624,0.230258731182796,74.779489,2026.685546,10861.625,646.532925,6,6,12,309079,247614
134,"m","1:1:2","f","a","s","b",3,8,225,33,4,28,"d",34,0.0606060606060606,0.00201230303030303,42.729151,457.949218,2519.80664,491.058823,6,6,12,56766,48135
135,"m","1:1:2","f","a","s","b",3,8,625,31,12,78,"r",9716,1,0.612147161290323,42.202042,1061.457031,13149.904296,514.216961,6,6,12,247357,109655
136,"m","1:1:2","f","a","s","b",3,8,625,93,12,78,"d",17620,0.774193548387097,0.370043677419355,100.195021,1809.171875,12322.566406,823.923836,6,6,12,322226,189278
137,"m","1:1:2","f","a","s","b",3,8,225,33,4,28,"r",9386,1,0.555516090909091,50.716354,494.804687,4447.513671,236.260387,6,6,12,83280,40820
138,"m","1:1:2","f","a","s","b",3,8,225,33,4,28,"r",8603,0.96969696969697,0.509173757575758,29.387213,528.072265,4263.46289,178.605137,6,6,12,82782,59441
139,"m","1:1:2","f","a","s","b",3,8,625,31,12,78,"d",63,0.0967741935483871,0.00396922580645161,104.804031,1660.830078,7735.8125,1153.301587,6,6,12,316596,201117
140,"m","1:1:2","f","a","s","b",3,8,625,93,12,78,"d",29,0.021505376344086,0.000609032258064516,217.319719,1295.412109,6778.367187,1055.241379,6,6,12,191279,137344
141,"m","1:1:2","f","a","s","b",3,8,225,11,4,28,"d",1906,1,0.338423272727273,46.973908,344.115234,3464.882812,357.281741,6,6,12,50197,30031
142,"m","1:1:2","f","a","s","b",3,8,225,33,4,28,"r",8375,1,0.495679424242424,49.176656,430.507812,4182.794921,217.186388,6,6,12,76619,44203
143,"m","1:1:2","f","a","s","b",3,8,625,31,12,78,"d",1756,0.516129032258065,0.110635064516129,112.74856,1046.759765,8551.503906,1064.878132,6,6,12,209348,115020
144,"m","1:1:2","f","a","s","b",3,8,225,11,4,28,"d",1405,0.818181818181818,0.249467272727273,15.586063,911.351562,4269.314453,403.600711,6,6,12,244349,72512
145,"m","1:1:2","f","a","s","b",3,8,225,33,4,28,"d",6325,0.818181818181818,0.374348939393939,23.025247,865.816406,4278.71289,242.171383,6,6,12,155419,103969
